instance,from,nb_toots,n,p,nb_toots_total,paverage,logratio
okadon.masto.host,fedibird.com,42,209,0.20095693779904306,6471,0.010617874652962373,2.940551776354651
friendica.produnis.de,squeet.me,50,249,0.20080321285140562,7154,0.011738568268782694,2.8394455342378353
30d.org,hachyderm.io,58,289,0.20069204152249134,6200,0.010173207054298672,2.982014096494164
ctdl.co,bitcoinhackers.org,75,375,0.2,3480,0.005710122669186996,3.5560768598907395
foresdon.jp,mstdn.jp,39,195,0.2,5508,0.009037745879851143,3.096907572810714
osna.social,chaos.social,69,345,0.2,19443,0.031902849154311144,1.8356220455634338
sekretaerbaer.de,chaos.social,66,330,0.2,19443,0.031902849154311144,1.8356220455634338
social.grimneko.de,qoto.org,74,370,0.2,4276,0.007016231187771149,3.3500911605143235
social.grimneko.de,respublicae.eu,74,370,0.2,4140,0.006793076968515565,3.3824133658398994
spondr.cz,mastodon.arch-linux.cz,69,345,0.2,230,3.773931649175314e-4,6.272785123736064
social.jmueller.eu,respublicae.eu,77,386,0.19948186528497408,4140,0.006793076968515565,3.3798193306628526
mastodon.lb.minixer.com,101010.pl,70,351,0.19943019943019943,2394,0.003928170594837262,3.9272904775589343
social.terbeest.net,mastodon.art,66,331,0.19939577039274925,18951,0.031095555949357118,1.8582267321759125
social.defluence.me,die-partei.social,65,326,0.19938650306748465,1606,0.0026351887950328496,4.326290339115582
masto.krashboyz.org,mamot.fr,56,281,0.199288256227758,16099,0.02641588070437973,2.020786929252469
xn--69aa8bzb.xn--y9a3aq,mstdn.jp,54,271,0.1992619926199262,5508,0.009037745879851143,3.093210710929388
together.chaoyu.us,freeradical.zone,40,201,0.19900497512437812,2613,0.00428751452143265,3.837622625627608
stoneartprod.xyz,mamot.fr,66,332,0.19879518072289157,16099,0.02641588070437973,2.0183096809610026
w9r.social,chaos.social,56,282,0.19858156028368795,19443,0.031902849154311144,1.8285045777945697
loftypancake.masto.host,masto.henkkalaukka.fi,55,277,0.19855595667870035,618,0.0010140390257349322,5.277129566680801
youngroyals.net,mstdn.starnix.network,53,267,0.19850187265917604,616,0.0010107573460399972,5.280098636711712
creative.ai,mastodon.gamedev.place,77,388,0.19845360824742267,5622,0.00922480162246244,3.068659675857293
liveplatform.ca,botsin.space,74,373,0.19839142091152814,12782,0.02097321493032994,2.246995808443487
acc4e.com,mastodon.art,71,358,0.19832402234636873,18951,0.031095555949357118,1.8528372561671649
mstdn.sidh.bzh,mamot.fr,47,237,0.19831223628691982,16099,0.02641588070437973,2.015877368425993
social.tumelum.de,chaos.social,69,348,0.19827586206896552,19443,0.031902849154311144,1.8269639828203192
zulu6.com,infosec.exchange,69,348,0.19827586206896552,20335,0.03336647829825218,1.78210755157482
mastodon.wurzelmann.at,chaos.social,60,303,0.19801980198019803,19443,0.031902849154311144,1.8256717147102657
net4sw.com,noagendasocial.com,59,298,0.19798657718120805,4792,0.007862904549064393,3.226043162698389
freeframe.masto.host,aspiechattr.me,57,288,0.19791666666666666,2700,0.004430267588162325,3.7993860807995437
mastodon.recherche-et-cie.org,piaille.fr,72,364,0.1978021978021978,5742,0.009421702404158544,3.0442517357916654
fluff.land,mastodon.art,34,172,0.19767441860465115,18951,0.031095555949357118,1.849556413329258
m.kretschmann.social,anonsys.net,80,405,0.19753086419753085,1119,0.0018360997893161635,4.678251204348777
tardis.world,aspiechattr.me,58,294,0.19727891156462585,2700,0.004430267588162325,3.7961585363086767
ratnest.masto.host,mastodon.art,41,208,0.1971153846153846,18951,0.031095555949357118,1.8467243525295396
glitch.gray.cafe,fosstodon.org,13,66,0.19696969696969696,15642,0.025666016894087068,2.0378820773669144
pouet.fedisphere.net,framapiaf.org,74,376,0.19680851063829788,7801,0.012800191650094184,2.732771085319322
delirium.masto.host,delirium.masto.host,64,326,0.19631901840490798,64,1.0501375023792177e-4,7.533404963726652
www.librepunk.club,botsin.space,40,204,0.19607843137254902,12782,0.02097321493032994,2.235268595152853
mastodon.sk,mastodon.sk,63,322,0.1956521739130435,79,1.296263479499347e-4,7.3194376734734625
quitter.pl,101010.pl,54,276,0.1956521739130435,2394,0.003928170594837262,3.908164639822566
tdd.social,fosstodon.org,63,322,0.1956521739130435,15642,0.025666016894087068,2.031170642778928
mikecoats.social,infosec.exchange,61,312,0.1955128205128205,20335,0.03336647829825218,1.7680742031158636
bcom.moe,mastodon.sdf.org,68,348,0.19540229885057472,2501,0.004103740458516287,3.863161639617373
quasselkopf.de,troet.cafe,82,420,0.19523809523809524,7504,0.012312862215396328,2.7635753903941382
indiehackers.social,mastodon.uy,65,333,0.19519519519519518,2712,0.004449957666331935,3.7811054759482667
mstdn.nere9.help,fedibird.com,48,246,0.1951219512195122,6471,0.010617874652962373,2.9110858850116217
toot.aquilenet.fr,mamot.fr,64,328,0.1951219512195122,16099,0.02641588070437973,1.9996593828265936
techthoughts.io,peoplemaking.games,54,277,0.19494584837545126,1975,0.0032406586987483673,4.0969452081350735
the.zymocosm.com,mastodon.nz,53,272,0.1948529411764706,5085,0.00834367062437238,3.1507418838668237
mastodon.roon.fr,chaos.social,67,344,0.19476744186046513,19443,0.031902849154311144,1.8091109200151019
mabe.space,chaos.social,73,375,0.19466666666666665,19443,0.031902849154311144,1.8085933731755144
social.mecanis.me,botsin.space,28,144,0.19444444444444445,12782,0.02097321493032994,2.226900345482336
mastodon.tech-nico.de,friendica.produnis.de,80,412,0.1941747572815534,1798,0.002950230045746615,4.186875415386149
social.artemai.art,universeodon.com,65,335,0.19402985074626866,8816,0.014465644095273724,2.596235551771235
spaceballs.masto.host,journa.host,58,299,0.1939799331103679,8952,0.014688798314529308,2.5806695322573314
muensterland.social,chaos.social,64,330,0.19393939393939394,19443,0.031902849154311144,1.8048503868966799
social.bim.land,mastodon.art,64,330,0.19393939393939394,18951,0.031095555949357118,1.8304807944256956
masto.henkkalaukka.fi,mastodontti.fi,75,387,0.1937984496124031,1151,0.0018886066644351245,4.630979356878006
u2.social,chaos.social,68,351,0.19373219373219372,19443,0.031902849154311144,1.8037814397077747
socialclub.nyc,universeodon.com,65,336,0.19345238095238096,8816,0.014465644095273724,2.593254923633097
botta.social,ruby.social,64,331,0.1933534743202417,989,0.001622790609145385,4.780372721453257
epistolary.org,journa.host,63,326,0.19325153374233128,8952,0.014688798314529308,2.5769074401264236
mstdn.fr,mamot.fr,63,326,0.19325153374233128,16099,0.02641588070437973,1.9900272528758904
mstdn.media,indieweb.social,56,290,0.19310344827586207,5216,0.008558620644390625,3.1162870092415003
vocalounge.cafe,glaceon.social,28,145,0.19310344827586207,984,0.0016145864099080473,4.784147215795736
friend.geoffray-levasseur.org,social.imirhil.fr,67,347,0.1930835734870317,312,5.119420324098687e-4,5.932666996727984
kcl.academy,freeatlantis.com,48,249,0.1927710843373494,634,0.0010402924632944126,5.222001505099318
machteburch.social,troet.cafe,68,353,0.19263456090651557,7504,0.012312862215396328,2.750150502650109
xeno.chat,botsin.space,56,291,0.19243986254295534,12782,0.02097321493032994,2.2165375584467895
xeno.chat,vulpine.club,56,291,0.19243986254295534,2241,0.0036771220981747297,3.9576532948560894
mastodon.thedecentralists.com,mamot.fr,50,260,0.19230769230769232,16099,0.02641588070437973,1.9851312822636837
fluff.land,vulpine.club,33,172,0.19186046511627908,2241,0.0036771220981747297,3.95463795594546
asocial.jacquesetmichel.fr,framapiaf.org,64,334,0.19161676646706588,7801,0.012800191650094184,2.7060372258880183
mastodon.shinomoroll.net,piaille.fr,64,334,0.19161676646706588,5742,0.009421702404158544,3.012481574795322
mastodon.wasnt.net,infosec.exchange,73,381,0.19160104986876642,20335,0.03336647829825218,1.7478635927737252
bagarrosphere.fr,mamot.fr,50,261,0.19157088122605365,16099,0.02641588070437973,1.981292505956518
wandzeitung.xyz,chaos.social,72,376,0.19148936170212766,19443,0.031902849154311144,1.7921369336236948
poliverso.org,mastodon.uno,67,350,0.19142857142857142,1732,0.002841934615813758,4.210029720878486
toot.lgbt,infosec.exchange,44,230,0.19130434782608696,20335,0.03336647829825218,1.7463138517471006
mastodon.huntsvillain.com,fedibird.com,57,298,0.1912751677852349,6471,0.010617874652962373,2.8911741913652396
ecocentraal.social,mastodon.world,65,340,0.19117647058823528,3344,0.0054869684499314125,3.5508210231741977
anarchydica.net,chaos.social,55,288,0.1909722222222222,19443,0.031902849154311144,1.789432663094059
williamsonday.buzz,journa.host,59,309,0.19093851132686085,8952,0.014688798314529308,2.5648662621095726
mastodon.chantierlibre.org,framapiaf.org,75,393,0.19083969465648856,7801,0.012800191650094184,2.7019736371720957
vermont.masto.host,journa.host,63,331,0.1903323262839879,8952,0.014688798314529308,2.5616864461160684
handmade.social,mastodon.nz,65,342,0.19005847953216373,5085,0.00834367062437238,3.125828569443731
toot.kuba-orlik.name,fosstodon.org,65,342,0.19005847953216373,15642,0.025666016894087068,2.002163994764835
rocketsnail.masto.host,mastodon.me.uk,61,321,0.19003115264797507,2284,0.0037476782116158333,3.9260515153607543
bantu.social,mastodon.art,68,358,0.18994413407821228,18951,0.031095555949357118,1.8096650843019562
mastodon.snmsoc.org,oldbytes.space,45,237,0.189873417721519,1215,0.001993620414673046,4.556405337953899
notorious.gay,mastodon.lol,51,269,0.1895910780669145,3875,0.00635825440893667,3.3951156564283993
retro.social,botsin.space,47,248,0.18951612903225806,12782,0.02097321493032994,2.201227990428209
awes.one,qoto.org,83,438,0.18949771689497716,4276,0.007016231187771149,3.2961507703685755
social.atypique.net,mamot.fr,61,322,0.18944099378881987,16099,0.02641588070437973,1.9701122264799684
social.thisisjoes.site,qoto.org,61,322,0.18944099378881987,4276,0.007016231187771149,3.295851391577327
mastodon.acoeur.org,mamot.fr,71,375,0.18933333333333333,16099,0.02641588070437973,1.96954375892197
mastodon.orko.it,anonsys.net,78,412,0.18932038834951456,1119,0.0018360997893161635,4.6357971141215
the.voiceover.bar,universeodon.com,64,339,0.1887905604719764,8816,0.014465644095273724,2.5688617896798855
mastodon.barcelo.cf,mamot.fr,57,302,0.18874172185430463,16099,0.02641588070437973,1.966414158310746
